domain,package,got_json,ip_count,port,ips,seconds
711cpb06.fpyzf.com,dua.eooxswdxepb.txjjttqdiaqaneqx,yes,15,30169,103.120.90.66;8.138.148.142;8.138.203.48;103.45.129.234;8.138.238.9;8.138.180.102;8.138.241.245;42.193.249.59;106.55.178.75;106.52.251.61;159.75.24.53;43.139.125.107;8.138.158.86;111.230.10.141;8.138.151.157,5.2
711cpb12.0de7z.com,dua.eooxswdxepb.txjjttqdiaqaneqx,yes,15,30169,111.230.10.141;8.138.151.157;103.120.90.66;8.138.241.245;8.138.158.86;8.138.238.9;8.138.203.48;8.138.180.102;43.139.125.107;103.45.129.234;159.75.24.53;42.193.249.59;8.138.148.142;106.52.251.61;106.55.178.75,5.3
711cpb15.0de7z.com,onf.cvybgtbgkny.hrbulikrtefsoxpf,yes,15,30169,8.138.180.102;8.138.151.157;103.45.129.234;159.75.24.53;42.193.249.59;8.138.148.142;8.138.203.48;8.138.158.86;106.55.178.75;106.52.251.61;8.138.241.245;43.139.125.107;8.138.238.9;103.120.90.66;111.230.10.141,5.2
711cpb15.408ku.com,xoj.okmetanbopd.jtggljdorchlxnqg,yes,15,30169,106.55.178.75;106.52.251.61;8.138.203.48;42.193.249.59;8.138.180.102;159.75.24.53;8.138.151.157;103.45.129.234;8.138.158.86;8.138.241.245;8.138.238.9;103.120.90.66;43.139.125.107;111.230.10.141;8.138.148.142,3.6
711cpb15.726pd.com,mkp.qcvfwopjvle.urgmyylxemdbmhpr,yes,15,30169,8.138.151.157;42.193.249.59;43.139.125.107;8.138.203.48;103.120.90.66;106.52.251.61;103.45.129.234;106.55.178.75;8.138.241.245;8.138.148.142;111.230.10.141;8.138.158.86;8.138.238.9;159.75.24.53;8.138.180.102,5.2
711cpb15.as6sz.com,yhc.vgbbolnhbfb.onixcdeinvielyht,yes,15,30169,8.138.148.142;8.138.180.102;42.193.249.59;106.52.251.61;103.45.129.234;8.138.151.157;8.138.158.86;106.55.178.75;43.139.125.107;8.138.203.48;111.230.10.141;103.120.90.66;159.75.24.53;8.138.241.245;8.138.238.9,5.2
711cpb15.e2uzk.com,ehv.bdxhnwhaoql.ngnhiogqesfelfhc,yes,15,30169,103.120.90.66;8.138.158.86;42.193.249.59;8.138.241.245;159.75.24.53;106.52.251.61;111.230.10.141;8.138.238.9;8.138.151.157;8.138.180.102;43.139.125.107;8.138.203.48;103.45.129.234;106.55.178.75;8.138.148.142,5.2
711cpb15.geh6f.com,sls.umgdiqwfnif.roovpasfoumdhutt,yes,15,30169,159.75.24.53;106.52.251.61;103.120.90.66;43.139.125.107;8.138.158.86;106.55.178.75;111.230.10.141;103.45.129.234;8.138.151.157;42.193.249.59;8.138.180.102;8.138.148.142;8.138.241.245;8.138.238.9;8.138.203.48,5.2
711cpb15.gzz9n.com,mmt.mcrwxfmhmeh.dtmwweexdkmyuamj,yes,15,30169,159.75.24.53;103.45.129.234;8.138.148.142;106.52.251.61;8.138.238.9;106.55.178.75;103.120.90.66;8.138.203.48;111.230.10.141;43.139.125.107;8.138.180.102;8.138.241.245;42.193.249.59;8.138.151.157;8.138.158.86,5.2
711cpb15.i628x.com,kbb.wlrukquocwx.qoskvnrcvgbbgapr,yes,15,30169,8.138.238.9;8.138.148.142;42.193.249.59;103.45.129.234;43.139.125.107;8.138.203.48;8.138.158.86;8.138.180.102;106.55.178.75;8.138.241.245;106.52.251.61;159.75.24.53;103.120.90.66;111.230.10.141;8.138.151.157,5.2
711cpb15.naekw.com,eig.ugmmxotkwne.jjcjfunlxhhslavf,yes,15,30169,103.120.90.66;103.45.129.234;8.138.238.9;106.55.178.75;106.52.251.61;8.138.158.86;8.138.180.102;8.138.151.157;43.139.125.107;8.138.241.245;111.230.10.141;159.75.24.53;8.138.203.48;8.138.148.142;42.193.249.59,5.2
711cpb15.nbnii.com,hpm.edwledbelcj.kmjiwumyrfwhkrun,yes,15,30169,8.138.241.245;103.120.90.66;106.55.178.75;103.45.129.234;8.138.158.86;106.52.251.61;8.138.180.102;42.193.249.59;8.138.238.9;8.138.203.48;43.139.125.107;111.230.10.141;8.138.148.142;8.138.151.157;159.75.24.53,3.6
