apk_path,package,label,apk_id
/home/ninini/Agents/APK-Research/new_samples/721cpa11.n1byg.com.apk,qiw.bmddfvftomnr.muaokdrwjhpohioclybf,EdyiVy,721cpa11.n1byg.com
/home/ninini/Agents/APK-Research/new_samples/713sl001.paxrs.com.apk,fxa.iybdcxehsdplrxb.jlmjkacxtqtev,ZpFnCQ,713sl001.paxrs.com
/home/ninini/Agents/APK-Research/new_samples/718yh144.oxq3k.com.apk,mvn.vhptsweeyfch.gantfhdcvpcmnqnhqvkq,sJTCsJ,718yh144.oxq3k.com
/home/ninini/Agents/APK-Research/new_samples/711cpa10.9h87d.com.apk,pob.usprnsdhalvimep.kclwgmkgxdoriikeirxh,HSLLNp,711cpa10.9h87d.com
/home/ninini/Agents/APK-Research/new_samples/711cpb15.i628x.com.apk,kbb.wlrukquocwx.qoskvnrcvgbbgapr,wzMMTM,711cpb15.i628x.com
/home/ninini/Agents/APK-Research/new_samples/713d21.2oedb.top.apk,irq.jbirhrkpoykuyyeq.ambsgenunyonvbosm,KxDyHB,713d21.2oedb.top
/home/ninini/Agents/APK-Research/new_samples/714yh161.uimyv.com.apk,mvn.vhptsweeyfch.gantfhdcvpcmnqnhqvkq,sJTCsJ,714yh161.uimyv.com
/home/ninini/Agents/APK-Research/new_samples/716cpa2.7q25t.com.apk,swo.ivmsuxfctldnrmv.lgoavpfoxiakhictomuo,yPTUuT,716cpa2.7q25t.com
/home/ninini/Agents/APK-Research/new_samples/719cpa1.rlmoq.com.apk,rio.lyctfimjloynryc.htfcdnwvlvlouxhijqaw,YfWWVD,719cpa1.rlmoq.com
/home/ninini/Agents/APK-Research/new_samples/719sl024.buv1l.com.apk,kvi.eiebhimvicjixyw.kupsgrydnpliw,VSHoyu,719sl024.buv1l.com
/home/ninini/Agents/APK-Research/new_samples/719sl094.buv1l.com.apk,kvi.eiebhimvicjixyw.kupsgrydnpliw,VSHoyu,719sl094.buv1l.com
/home/ninini/Agents/APK-Research/new_samples/715sl082.rdtho.com.apk,kvi.eiebhimvicjixyw.kupsgrydnpliw,VSHoyu,715sl082.rdtho.com
/home/ninini/Agents/APK-Research/new_samples/712b287.ykt28.com.apk,awyitaryy.ncaghxktgnhjnuob.rauvtjxl,riZRQL,712b287.ykt28.com
/home/ninini/Agents/APK-Research/new_samples/713sl207.biyhc.com.apk,gxi.fiaposxrandkgbf.fyyhxksatxedi,kuDYhg,713sl207.biyhc.com
/home/ninini/Agents/APK-Research/new_samples/714cpk20.p8vd4.com.apk,dre.eeyijydawtxa.prykfxtxcnggwialrund,EVOfoF,714cpk20.p8vd4.com
